lon,lat,p_iid,p_bym,p_bym_cov
108.4711,48.3948,0.5700598802395209,0.49700598802395207,0.5035928143712575
106.0725,48.5983,0.6455089820359281,0.3523952095808383,0.38682634730538923
103.6522,48.7347,0.3973053892215569,0.31047904191616765,0.3410179640718563
101.2189,48.8031,0.911377245508982,0.8679640718562874,0.884431137724551
98.7811,48.8031,0.5826347305389221,0.5173652694610779,0.520059880239521
96.3478,48.7347,0.7538922155688623,0.542814371257485,0.5595808383233533
93.9275,48.5983,0.4095808383233533,0.3029940119760479,0.2940119760479042
89.1597,48.1256,0.5979041916167664,0.5679640718562874,0.5491017964071856
84.5388,47.3973,0.19580838323353295,0.17874251497005988,0.19520958083832335
82.2996,46.9425,0.20089820359281438,0.09550898203592814,0.08952095808383234
80.1148,46.4309,0.6646706586826348,0.41437125748502995,0.37514970059880237
77.9887,45.8651,0.7766467065868263,0.5586826347305389,0.5206586826347306
75.9245,45.2482,0.5434131736526946,0.38023952095808383,0.3724550898203593
73.9246,44.5832,0.7838323353293413,0.7161676646706587,0.6907185628742515
71.9908,43.8733,0.49101796407185627,0.5302395209580838,0.5104790419161677
70.124,43.1217,0.47335329341317367,0.48892215568862274,0.4676646706586826
68.3245,42.3316,0.23952095808383234,0.2934131736526946,0.2874251497005988
66.5922,41.5059,0.37514970059880237,0.3197604790419162,0.320059880239521
64.9262,40.6478,0.5437125748502994,0.5092814371257485,0.47155688622754494
63.3257,39.7602,0.6470059880239521,0.5577844311377246,0.5730538922155689
61.789,38.8459,0.4907185628742515,0.47784431137724553,0.47784431137724553
57.5448,35.9697,0.9721556886227545,0.9784431137724551,0.9793413173652694
56.2454,34.9748,1.0,1.0,1.0
55.0,33.9655,1.0,1.0,1.0
53.8065,32.944,0.2907185628742515,0.09491017964071856,0.09610778443113772
51.5664,30.8718,0.6455089820359281,0.8350299401197605,0.8167664670658683
132.7995,43.6402,0.8290419161676646,0.7110778443113772,0.7215568862275449
130.9638,44.4638,0.5715568862275449,0.36407185628742517,0.3458083832335329
129.0546,45.2482,0.7607784431137724,0.5724550898203593,0.557185628742515
127.0721,45.9899,0.918562874251497,0.7805389221556887,0.7925149700598803
125.0169,46.6857,0.9041916167664671,0.8559880239520958,0.8790419161676647
122.8906,47.3319,0.35419161676646704,0.4805389221556886,0.5002994011976047
120.6955,47.9253,0.9748502994011976,0.8547904191616766,0.8601796407185629
118.4349,48.4625,0.5973053892215568,0.294311377245509,0.3158682634730539
116.1134,48.9404,0.517065868263473,0.2997005988023952,0.3281437125748503
113.7363,49.3561,0.95,0.8008982035928144,0.8083832335329342
111.3099,49.707,0.9790419161676647,0.9601796407185629,0.957185628742515
108.8418,49.9906,0.8116766467065868,0.687125748502994,0.6901197604790419
