"","lat","long","elev"
"509",56.5077,89.2869,193.7
"510",56.1525,86.3287,148.7
"511",55.7149,83.4429,104.8
"512",55.1987,80.641,153.6
"513",54.6084,77.9321,106.5
"514",53.9484,75.3231,117
"515",53.2238,72.8189,67.6
"516",52.4395,70.4222,420.2
"517",51.6005,68.134,266.9
"518",50.7116,65.9541,221
"519",49.7776,63.8807,99.2
"520",48.8031,61.9112,87.6
"521",47.7924,60.0425,219
"522",46.7497,58.2705,159.9
"523",45.6787,56.5911,45.7
"524",44.5832,55,99
"525",43.4664,53.4926,112.6
"526",37.6652,47.0565,1805.2
"527",36.4786,45.9605,1633.9
"528",35.2881,44.9194,527.5
"529",50.0619,139.6442,635.3
"530",51.0787,137.6476,215
"531",52.0552,135.5377,834.5
"532",53.867,130.9638,822.5
"533",54.6919,128.4956,394.7
"534",55.4556,125.9065,876.4
"535",56.1525,123.1986,734
"536",56.7771,120.3764,886
"537",57.3241,117.4472,1584
"538",57.7887,114.4208,987.1
"539",58.1662,111.3099,455.3
"540",58.453,108.1301,495
"541",58.6459,104.8991,517.8
"542",58.7429,101.6366,311.2
"543",58.7429,98.3634,212.6
"544",58.6459,95.1009,441.2
"545",58.453,91.8699,132
"546",58.1662,88.6901,153.8
"547",57.7887,85.5792,119.4
"548",57.3241,82.5528,115.8
"549",56.7771,79.6236,140
"550",56.1525,76.8014,118
"551",55.4556,74.0935,114.8
"552",54.6919,71.5044,119.8
"553",53.867,69.0362,164
"554",52.9863,66.6894,193
"555",52.0552,64.4623,116.3
"556",51.0787,62.3524,245
"557",50.0619,60.3558,262.1
"558",49.0093,58.4682,303.5
"559",47.9253,56.6847,139.1
"560",46.8138,55,36
"561",45.6787,53.4089,-25
"562",44.5234,51.9059,-25.5
"563",38.5467,45.5377,1125.8
"564",37.3286,44.4608,1819
"565",50.2051,143.2101,517.6
"566",51.3012,141.3086,0
"567",52.3622,139.2894,477.8
"568",53.3833,137.1467,98.2
"569",54.3591,134.8753,476.9
"570",56.1525,129.9315,1076.6
"571",56.9582,127.2553,1557.2
"572",57.6951,124.444,1240.8
"573",58.3571,121.5014,488.9
"574",59.4322,115.2551,1013.1
"575",59.8345,111.9761,343.8
"576",60.1404,108.6156,400.6
"577",60.3464,105.1944,384.9
"578",60.4501,101.7357,346
"579",60.4501,98.2643,396.2
"580",60.3464,94.8056,309.1
"581",60.1404,91.3844,512
"582",59.8345,88.0239,153.8
"583",59.4322,84.7449,143.9
"584",58.938,81.5651,54
"585",58.3571,78.4986,122
"586",57.6951,75.556,136.4
"587",56.9582,72.7447,95.5
"588",56.1525,70.0685,72
"589",55.2841,67.5288,138.1
"590",54.3591,65.1247,144.2
"591",53.3833,62.8533,199.2
"592",52.3622,60.7106,287.7
"593",51.3012,58.6914,197
"594",50.2051,56.7899,313.9
"595",49.0784,55,90
"596",47.9253,53.3153,-12.2
